Country,Region
Russia,East
Ukraine,East
Poland,East
Romania,East
Czech Republic,East
Hungary,East
Belarus,East
Bulgaria,East
Slovakia,East
Moldova,East
Germany,West
France,West
Netherlands,West
Belgium,West
Austria,West
Switzerland,West
Luxembourg,West
Monaco,West
Liechtenstein,West
United Kingdom,North
Sweden,North
Denmark,North
Finland,North
Norway,North
Ireland,North
Lithuania,North
Latvia,North
Estonia,North
Iceland,North
Channel Islands,North
Isle of Man,North
Faeroe Islands,North
Italy,South
Spain,South
Greece,South
Portugal,South
Serbia,South
Croatia,South
Bosnia and Herzegovina,South
Albania,South
Macedonia,South
Slovenia,South
Montenegro,South
Malta,South
Andorra,South
Gibraltar,South
San Marino,South
Holy See,South
